Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1997 [YR1997],2001 [YR2001],2005 [YR2005],2009 [YR2009],2013 [YR2013],2017 [YR2017],2020 [YR2020]
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,38815835,43827191,48428534,54785894,62448572,71358804,81398765,89561404
"Congo, Dem. Rep.",COD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,69.3585419278733,98.7815883154359,144.821089853789,188.069574360096,307.025156509236,336.802722568191,432.026249438327
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2684323618.40365,2322719101.28455,2796704603.04443,6650001684.9045,9723299908.19473,17958720704.4596,11094823676.5914,10483151093.6873
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2559880,2867283,3217930,3622775,4145400,4622757,5110701,5518092
"Congo, Rep.",COG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,348.471600080626,145.284757029663,133.396323787719,346.292040360505,1012.90114241706,2124.55945697013,954.844936147622,711.986579199252
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,9582866263.11706,12614602382.2012,15976174336.9721,20040642476.9817,30745712006.5307,50949672205.9168,60516043590.1832,62158002233.0279
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3372298,3718952,4034074,4285504,4520739,4742111,4949955,5094114
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2612.39590204878,3173.73633010886,3547.73595905796,4199.83425700058,6175.89886987112,9778.64952006204,10929.6396226226,10700.43143027
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,11045759468.9412,18047557171.7483,16810536883.7177,24036917016.59,33886814907.0346,42760237561.4396,51588158717.5348,61348579465.1017
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,13271638,15130674,16853027,18354513,20059147,22087506,24437475,26378275
Cote d'Ivoire,CIV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,674.838726280788,669.363014698473,544.467023304357,816.185233944333,1090.73065722881,1279.13308288586,1951.00703124346,2170.85067427399
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,..,24091170702.5562,23273640257.1968,45780237257.1867,63084004705.0807,58889082315.336,56214427431.2,57203783203.0259
Croatia,HRV,"Population, total",SP.POP.TOTL,4600463,4534920,4299642,4310145,4305181,4255689,4124531,4047680
Croatia,HRV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,4472.26046105272,4306.93861671588,8764.05263390197,11579.8680629833,11304.3843686905,11310.5685528478,12132.9220956216
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,22367254864.8649,25365908100,31682400000,42643836100,57481481481.4815,77148000000,96851000000,107352000000
Cuba,CUB,"Population, total",SP.POP.TOTL,10789312,10989730,11164676,11261586,11226711,11282722,11339255,11326616
Cuba,CUB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1844.14224147332,2002.14749569658,2463.79397498769,3296.31651581829,4753.68011418547,5910.77825079565,7416.11803928487,..
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,3039944134.07821,3009497206.70391,2496174735.64702
Curacao,CUW,"Population, total",SP.POP.TOTL,144299,146956,129047,137658,146833,153822,160175,154947
Curacao,CUW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,6590291048.29211,9547818700.11403,10397897085.6102,18433411267.2553,25945391775.4932,23900872625.8467,22870833709.8961,24692095945.1742
Cyprus,CYP,"Population, total",SP.POP.TOTL,818750,891190,960274,1027657,1098089,1143866,1179685,1207361
Cyprus,CYP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9012.384765625,11472.2919921875,11974.1357421875,20741.623046875,28203.197265625,23637.783203125,22639.234375,22557.154296875
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,40866748705.1075,62180159376.1239,67808032979.5429,137143471328.274,207434296805.33,211685616592.931,218628940951.675,245339322066.759
Czechia,CZE,"Population, total",SP.POP.TOTL,10329855,10304131,10216605,10211216,10443936,10514272,10594438,10697858
Czechia,CZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3127.21808129029,4648.47869672616,5013.7735186194,10143.6717844523,14316.2072846475,14481.5823029915,15284.6015493123,17172.9272011104
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,143195627014.605,173537647058.824,164791442543.375,264467336457.17,321241303699.006,343584391647.927,332121063806.391,356084867685.639
Denmark,DNK,"Population, total",SP.POP.TOTL,5188628,5284991,5358783,5419432,5523095,5614932,5764980,5831404
Denmark,DNK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,22305.7869017415,26622.0371710415,24788.1172236015,40314.9433840037,47483.3181852215,51794.6199290871,49134.6046223964,52666.348965617
