,Country Name,Country Code,Series Name,YR1993,YR1997,YR2001,YR2005,YR2009,YR2013,YR2017,YR2020
144,Croatia,HRV,GDP,..,24091170702.5562,23273640257.1968,45780237257.1867,63084004705.0807,58889082315.336,56214427431.2,57203783203.0259
145,Croatia,HRV,POP,4600463,4534920,4299642,4310145,4305181,4255689,4124531,4047680
146,Croatia,HRV,INC,..,4472.26046105272,4306.93861671588,8764.05263390197,11579.8680629833,11304.3843686905,11310.5685528478,12132.9220956216
147,Cuba,CUB,GDP,22367254864.8649,25365908100,31682400000,42643836100,57481481481.4815,77148000000,96851000000,107352000000
148,Cuba,CUB,POP,10789312,10989730,11164676,11261586,11226711,11282722,11339255,11326616
149,Cuba,CUB,INC,1844.14224147332,2002.14749569658,2463.79397498769,3296.31651581829,4753.68011418547,5910.77825079565,7416.11803928487,..
150,Curacao,CUW,GDP,..,..,..,..,..,3039944134.07821,3009497206.70391,2496174735.64702
151,Curacao,CUW,POP,144299,146956,129047,137658,146833,153822,160175,154947
152,Curacao,CUW,INC,..,..,..,..,..,..,..,..
153,Cyprus,CYP,GDP,6590291048.29211,9547818700.11403,10397897085.6102,18433411267.2553,25945391775.4932,23900872625.8467,22870833709.8961,24692095945.1742
