,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
201,1970,02 Jun 1970 - 16:00 ,Uruguay,Israel,2.0,0.0
202,1970,02 Jun 1970 - 16:00 ,Peru,Bulgaria,3.0,2.0
203,1970,02 Jun 1970 - 16:00 ,England,Romania,1.0,0.0
204,1970,03 Jun 1970 - 16:00 ,Italy,Sweden,1.0,0.0
205,1970,03 Jun 1970 - 16:00 ,Germany FR,Morocco,2.0,1.0
206,1970,03 Jun 1970 - 16:00 ,Brazil,Czechoslovakia,4.0,1.0
207,1970,03 Jun 1970 - 16:00 ,Belgium,El Salvador,3.0,0.0
208,1970,06 Jun 1970 - 16:00 ,Uruguay,Italy,0.0,0.0
209,1970,06 Jun 1970 - 16:00 ,Peru,Morocco,3.0,0.0
210,1970,06 Jun 1970 - 16:00 ,Romania,Czechoslovakia,2.0,1.0
211,1970,06 Jun 1970 - 16:00 ,Soviet Union,Belgium,4.0,1.0
212,1970,07 Jun 1970 - 12:00 ,Sweden,Israel,1.0,1.0
213,1970,07 Jun 1970 - 12:00 ,Germany FR,Bulgaria,5.0,2.0
